periode,ihpb_nasional,ihpb_industri,ihpb_impor,ihpb_ekspor,kurs_tengah,kurs_jual,kurs_beli,year,bulan,ihpb_nasional_pct_change,ihpb_industri_pct_change,ihpb_impor_pct_change,kurs_tengah_pct_change,kurs_spread,target_ihpb_h1,target_change_pct_h1,target_direction_h1,target_ihpb_h2,target_change_pct_h2,target_direction_h2,target_ihpb_h3,target_change_pct_h3,target_direction_h3
2014-08,130.52,121.37,135.15,140.71,11709.62,11768.17,11651.07,2014,8,0.06900253009276547,0.713633723342455,-0.30980305377295014,0.37278857684597266,117.10000000000036,130.96,0.3371130861170684,stabil,131.7,0.9040760036775807,naik,132.81,1.7545203800183817,naik
2014-09,130.96,121.51,134.65,141.12,11874.0,11933.37,11814.63,2014,9,0.3371130861170579,0.11534975694158511,-0.36995930447650816,1.4038030269128976,118.7400000000016,131.7,0.5650580329871568,naik,132.81,1.4126450824679246,naik,133.48,1.9242516799022464,naik
2014-10,131.7,122.07,138.96,141.48,12133.17,12193.84,12072.51,2014,10,0.5650580329871646,0.4608674183194772,3.2008911994058753,2.18266801414857,121.32999999999993,132.81,0.8428246013667531,naik,133.48,1.3515565679574801,naik,133.19,1.1313591495823914,naik
2014-11,132.81,122.65,140.39,141.2,12146.9,12207.63,12086.17,2014,11,0.842824601366754,0.4751372163512846,1.0290731145653265,0.11316086397865632,121.45999999999913,133.48,0.5044800843309897,naik,133.19,0.28612303290414537,stabil,133.48,0.5044800843309897,naik
2014-12,133.48,123.47,140.06,140.97,12422.74,12484.85,12360.63,2014,12,0.5044800843309938,0.6685690990623661,-0.23505947717072928,2.270867464126658,124.22000000000116,133.19,-0.21726101288581964,stabil,133.48,0.0,stabil,133.44,-0.029967036260107913,stabil
2015-01,133.19,123.8,139.31,138.58,12527.77,12590.41,12465.13,2015,1,-0.21726101288581656,0.2672714019599898,-0.5354847922318995,0.845465654114963,125.28000000000065,133.48,0.21773406411892188,stabil,133.44,0.18770177941286884,stabil,133.67,0.3603874164727005,stabil
2015-02,133.48,124.07,139.1,137.32,12735.15,12798.83,12671.47,2015,2,0.21773406411891294,0.21809369951535373,-0.150742947383542,1.655362446788211,127.36000000000058,133.44,-0.029967036260107913,stabil,133.67,0.1423434222355392,stabil,135.16,1.258615522924788,naik
2015-03,133.44,124.03,139.3,134.29,13034.05,13099.22,12968.88,2015,3,-0.02996703626010344,-0.03223986459256478,0.14378145219267058,2.3470473453394813,130.34000000000015,133.67,0.17236211031174292,stabil,135.16,1.288968824940047,naik,132.44,-0.749400479616307,turun
2015-04,133.67,124.42,136.28,131.89,12938.14,13002.83,12873.45,2015,4,0.1723621103117523,0.3144400548254378,-2.167982770997856,-0.7358418910469067,129.3799999999992,135.16,1.1146854193162334,naik,132.44,-0.9201765542006359,turun,133.9,0.17206553452533718,stabil
2015-05,135.16,126.25,134.09,130.53,13082.76,13148.18,13017.35,2015,5,1.1146854193162303,1.4708246262658653,-1.6069856178456132,1.1177804537592095,130.82999999999993,132.44,-2.0124297129328195,turun,133.9,-0.9322284699615204,turun,133.69,-1.087599881621781,turun
