periode,ihpb,kurs_tengah,kurs_jual,kurs_beli,ihpb_impor,kurs_perubahan_pct,ihpb_perubahan_pct,bulan,target_ihpb_h1,target_ihpb_h2,target_ihpb_h3
2003-01,,,,,186.0,,,1,,,
2003-02,,,,,188.0,,,2,,,
2003-03,,,,,188.0,,,3,,,
2003-04,,,,,189.0,,,4,,,
2003-05,,,,,190.0,,,5,,,
2003-06,,,,,191.0,,,6,,,
2003-07,,,,,191.0,,,7,,,
2003-08,,,,,191.0,,,8,,,
2003-09,,,,,192.0,,,9,,,
2003-10,,,,,193.0,,,10,,,
2003-11,,,,,195.0,,,11,,,
2003-12,,,,,196.0,,,12,,,
2004-01,,,,,199.0,,,1,,,
2004-02,,,,,201.0,,,2,,,
2004-03,,,,,202.0,,,3,,,
2004-04,,,,,202.0,,,4,,,
2004-05,,,,,204.0,,,5,,,
2004-06,,,,,205.0,,,6,,,
2004-07,,,,,206.0,,,7,,,
2004-08,,,,,207.0,,,8,,,
2004-09,,,,,209.0,,,9,,,
2004-10,,,,,209.0,,,10,,,
2004-11,,,,,214.0,,,11,,,
2004-12,,,,,216.0,,,12,,,
2005-01,,,,,218.0,,,1,,,
2005-02,,,,,218.0,,,2,,,
2005-03,,,,,222.0,,,3,,,
2005-04,,,,,222.0,,,4,,,
2005-05,,,,,224.0,,,5,,,
2005-06,,,,,226.0,,,6,,,
2005-07,,,,,227.0,,,7,,,
2005-08,,,,,227.0,,,8,,,
2005-09,,,,,227.0,,,9,,,
2005-10,,,,,227.0,,,10,,,
2005-11,,,,,228.0,,,11,,,
2005-12,,,,,230.0,,,12,,,
2006-01,,,,,236.0,,,1,,,
2006-02,,,,,241.0,,,2,,,
2006-03,,,,,245.0,,,3,,,
2006-04,,,,,246.0,,,4,,,
2006-05,,,,,247.0,,,5,,,
2006-06,,,,,250.0,,,6,,,
2006-07,,,,,253.0,,,7,,,
2006-08,,,,,256.0,,,8,,,
2006-09,,,,,256.0,,,9,,,
2006-10,,,,,258.0,,,10,,,
2006-11,,,,,260.0,,,11,,,
2006-12,,,,,265.0,,,12,,,
2007-01,,,,,273.0,,,1,,,
2007-02,,,,,278.0,,,2,,,
2007-03,,,,,282.0,,,3,,,
2007-04,,,,,285.0,,,4,,,
2007-05,,,,,288.0,,,5,,,
2007-06,,,,,291.0,,,6,,,
2007-07,,,,,298.0,,,7,,,
2007-08,,,,,305.0,,,8,,,
2007-09,,,,,309.0,,,9,,,
2007-10,,,,,316.0,,,10,,,
2007-11,,,,,321.0,,,11,,,
2007-12,,,,,327.0,,,12,,,
2008-01,,,,,332.0,,,1,,,
2008-02,,,,,342.0,,,2,,,
2008-03,,,,,344.0,,,3,,,
2008-04,,,,,351.0,,,4,,,
2008-05,,,,,357.0,,,5,,,
2008-06,,,,,358.0,,,6,,,
2008-07,,,,,361.0,,,7,,,
2008-08,,,,,360.0,,,8,,,
2008-09,,,,,359.0,,,9,,,
2008-10,,,,,360.0,,,10,,,
2008-11,,,,,363.0,,,11,,,
2008-12,,,,,371.0,,,12,,,
2009-01,,,,,382.0,,,1,,,
2009-02,,,,,388.0,,,2,,,
2009-03,,,,,388.0,,,3,,,
2009-04,,,,,394.0,,,4,,,
2009-05,,,,,396.0,,,5,,,
2009-06,,,,,403.0,,,6,,,
2009-07,,,,,403.0,,,7,,,
2009-08,,,,,406.0,,,8,,,
2009-09,,,,,403.0,,,9,,,
2009-10,,,,,404.0,,,10,,,167.35
2009-11,,,,,407.0,,,11,,167.35,167.41
2009-12,,,,,413.0,,,12,167.35,167.41,167.78
2010-01,167.35,9254.9,9301.18,9208.63,159.55,,,1,167.41,167.78,169.0
2010-02,167.41,9353.15,9399.92,9306.38,157.9,1.061599801186408,0.035853002688979174,2,167.78,169.0,170.0
2010-03,167.78,9144.62,9190.34,9098.89,158.39,-2.229516259228159,0.2210142763275913,3,169.0,170.0,170.0
2010-04,169.0,9029.45,9074.6,8984.31,161.0,-1.2594290413379672,0.7271426868518338,4,170.0,170.0,170.0
2010-05,170.0,9194.45,9240.42,9148.48,161.0,1.8273538255375366,0.591715976331364,5,170.0,170.0,171.0
2010-06,170.0,9147.52,9193.26,9101.79,159.0,-0.5104166100201812,0.0,6,170.0,171.0,172.0
2010-07,170.0,9019.35,9064.44,8974.25,159.0,-1.4011447911565056,0.0,7,171.0,172.0,0.0
2010-08,171.0,8919.82,8964.41,8875.22,159.0,-1.103516328782017,0.588235294117645,8,172.0,0.0,173.0
2010-09,172.0,8972.6,9017.46,8927.73,160.0,0.591715976331364,0.5847953216374213,9,0.0,173.0,174.0
2010-10,0.0,8910.13,8954.68,8865.58,0.0,-0.6962307469406959,-100.0,10,173.0,174.0,176.0
2010-11,173.0,8523.57,8566.19,8480.95,163.0,-4.33843277258581,inf,11,174.0,176.0,170.63
2010-12,174.0,9000.71,9045.72,8955.71,164.0,5.597889147387769,0.5780346820809301,12,176.0,170.63,178.45
2011-01,176.0,8989.61,9034.56,8944.66,168.0,-0.12332360447118162,1.1494252873563315,1,170.63,178.45,180.12
2011-02,170.63,8865.7,8910.03,8821.37,160.82,-1.3783690282448302,-3.051136363636364,2,178.45,180.12,181.1
2011-03,178.45,8739.63,8783.33,8695.93,170.63,-1.4219971350260208,4.583015882318464,3,180.12,181.1,182.12
2011-04,180.12,8637.03,8680.22,8593.84,173.55,-1.1739627421297971,0.9358363687307358,4,181.1,182.12,182.29
2011-05,181.1,8541.75,8584.46,8499.04,176.58,-1.1031569879924041,0.5440817232955641,5,182.12,182.29,182.27
2011-06,182.12,8551.23,8593.98,8508.47,178.44,0.11098428308016217,0.5632247377139743,6,182.29,182.27,183.53
2011-07,182.29,8523.48,8566.09,8480.86,177.23,-0.324514718935176,0.09334504722160464,7,182.27,183.53,184.45
2011-08,182.27,8478.38,8520.77,8435.99,175.51,-0.5291266008719431,-0.010971528882541826,8,183.53,184.45,185.57
2011-09,183.53,8695.26,8738.73,8651.78,176.85,2.558035851188567,0.6912821638229039,9,184.45,185.57,185.88
2011-10,184.45,8826.44,8870.58,8782.31,176.41,1.5086380395755938,0.5012804446139496,10,185.57,185.88,186.68
2011-11,185.57,8975.9,9020.78,8931.02,179.19,1.6933214297043753,0.6072106261859611,11,185.88,186.68,187.31
2011-12,185.88,9043.01,9088.22,8997.79,180.05,0.7476687574505148,0.16705286414830933,12,186.68,187.31,183.31
2012-01,186.68,9050.61,9095.87,9005.36,182.04,0.08404281317835327,0.43038519474931647,1,187.31,183.31,188.69
2012-02,187.31,8594.4,8637.38,8551.43,181.99,-5.040654718300763,0.33747589457895355,2,183.31,188.69,190.44
2012-03,183.31,9125.11,9170.74,9079.49,177.37,6.175067485804719,-2.1354973039346525,3,188.69,190.44,192.27
2012-04,188.69,9143.09,9188.8,9097.37,182.99,0.19703872062910577,2.9349189896895833,4,190.44,192.27,192.71
2012-05,190.44,9210.11,9256.16,9164.06,185.94,0.7330125810858235,0.9274471355132707,5,192.27,192.71,192.07
2012-06,192.27,9381.33,9428.23,9334.42,190.37,1.8590440287900911,0.9609325771896771,6,192.71,192.07,190.71
2012-07,192.71,9407.53,9454.56,9360.49,188.59,0.2792780980948484,0.22884485359129236,7,192.07,190.71,191.44
2012-08,192.07,9461.41,9508.72,9414.11,186.22,0.5727326939164668,-0.33210523584661367,8,190.71,191.44,194.65
2012-09,190.71,9524.59,9572.22,9476.97,182.27,0.6677651639660498,-0.7080751809236174,9,191.44,194.65,195.19
2012-10,191.44,9561.41,9609.22,9513.61,183.6,0.3865783199066719,0.3827801373813555,10,194.65,195.19,195.03
2012-11,194.65,9579.44,9627.34,9531.54,193.57,0.1885705141814853,1.6767655662348613,11,195.19,195.03,194.4
2012-12,195.19,9607.82,9655.86,9559.78,194.42,0.2962594890724146,0.27742101207295367,12,195.03,194.4,194.66
2013-01,195.03,9630.4,9678.55,9582.24,194.47,0.23501689248965896,-0.08197141246989448,1,194.4,194.66,192.69
2013-02,194.4,9649.66,9697.9,9601.41,193.32,0.19999169297226782,-0.32302722658051897,2,194.66,192.69,197.08
2013-03,194.66,9668.43,9716.77,9620.08,194.28,0.19451462538577768,0.1337448559670662,3,192.69,197.08,198.88
2013-04,192.69,9687.31,9735.75,9638.88,189.17,0.19527472402447454,-1.0120209596219065,4,197.08,198.88,198.79
2013-05,197.08,9721.11,9769.71,9672.5,195.6,0.3489100689458846,2.2782707976542804,5,198.88,198.79,197.48
2013-06,198.88,9799.57,9848.57,9750.57,198.09,0.8071094761812114,0.9133346864217406,6,198.79,197.48,197.37
2013-07,198.79,9986.55,10036.48,9936.62,196.37,1.9080429039233238,-0.04525341914722869,7,197.48,197.37,198.7
2013-08,197.48,10500.09,10552.59,10447.59,192.72,5.1423164155789625,-0.6589868705669355,8,197.37,198.7,202.47
2013-09,197.37,11263.76,11320.08,11207.44,191.6,7.272985279173794,-0.05570184322462035,9,198.7,202.47,206.65
2013-10,198.7,11210.57,11266.62,11154.51,193.63,-0.4722224195117808,0.673861275776444,10,202.47,206.65,210.09
2013-11,202.47,11162.8,11218.61,11106.99,197.59,-0.42611571044113283,1.8973326623049847,11,206.65,210.09,212.0
2013-12,206.65,11590.97,11648.93,11533.02,205.07,3.8356863869280167,2.0645033832172643,12,210.09,212.0,126.87
2014-01,210.09,12035.48,12095.66,11975.3,209.91,3.834968082912815,1.6646503750302521,1,212.0,126.87,128.76
2014-02,212.0,11834.6,11893.77,11775.43,212.0,-1.6690651307633697,0.9091341805892661,2,126.87,128.76,189.6
2014-03,126.87,11425.95,11483.08,11368.82,131.34,-3.4530106636472713,-40.155660377358494,3,128.76,189.6,130.44
2014-04,128.76,11421.09,11478.2,11363.99,134.43,-0.04253475640975113,1.4897138803499521,4,189.6,130.44,130.43
2014-05,189.6,11507.05,11564.58,11449.51,188.2,0.7526426987266355,47.250698974836915,5,130.44,130.43,130.52
2014-06,130.44,11879.19,11938.59,11819.79,135.58,3.2340174067202465,-31.20253164556962,6,130.43,130.52,130.96
2014-07,130.43,11666.13,11724.46,11607.8,135.57,-1.7935566313864948,-0.00766636001225951,7,130.52,130.96,131.7
2014-08,130.52,11709.62,11768.17,11651.07,135.15,0.37278857684597266,0.06900253009276547,8,130.96,131.7,132.81
2014-09,130.96,11874.0,11933.37,11814.63,134.65,1.4038030269128976,0.3371130861170579,9,131.7,132.81,133.48
2014-10,131.7,12133.17,12193.84,12072.51,138.96,2.18266801414857,0.5650580329871646,10,132.81,133.48,133.19
2014-11,132.81,12146.9,12207.63,12086.17,140.39,0.11316086397865632,0.842824601366754,11,133.48,133.19,133.48
2014-12,133.48,12422.74,12484.85,12360.63,140.06,2.270867464126658,0.5044800843309938,12,133.19,133.48,133.44
2015-01,133.19,12527.77,12590.41,12465.13,139.31,0.845465654114963,-0.21726101288581656,1,133.48,133.44,133.67
2015-02,133.48,12735.15,12798.83,12671.47,139.1,1.655362446788211,0.21773406411891294,2,133.44,133.67,135.16
2015-03,133.44,13034.05,13099.22,12968.88,139.3,2.3470473453394813,-0.02996703626010344,3,133.67,135.16,132.44
2015-04,133.67,12938.14,13002.83,12873.45,136.28,-0.7358418910469067,0.1723621103117523,4,135.16,132.44,133.9
2015-05,135.16,13082.76,13148.18,13017.35,134.09,1.1177804537592095,1.1146854193162303,5,132.44,133.9,133.69
2015-06,132.44,13282.5,13348.91,13216.09,137.37,1.5267420636012607,-2.0124297129328172,6,133.9,133.69,134.69
2015-07,133.9,13351.61,13418.37,13284.85,132.15,0.5203086768304166,1.102385986106924,7,133.69,134.69,135.34
2015-08,133.69,13690.0,13758.45,13621.55,132.14,2.5344509014268546,-0.15683345780433955,8,134.69,135.34,137.74
2015-09,134.69,14343.95,14415.67,14272.23,133.0,4.776844411979542,0.7479991024010868,9,135.34,137.74,138.54
2015-10,135.34,13761.0,13829.8,13692.2,133.56,-4.064082766601951,0.4825896503081184,10,137.74,138.54,139.01
2015-11,137.74,13612.1,13680.16,13544.03,134.75,-1.0820434561441772,1.7733116595241682,11,138.54,139.01,140.88
2015-12,138.54,13813.52,13882.59,13744.45,134.97,1.4797129024911593,0.5808044141135449,12,139.01,140.88,140.52
