periode,sektor,ihpb,tahun_dasar
2003-01,Ekspor,162.0,2018
2003-02,Ekspor,162.0,2018
2003-03,Ekspor,163.0,2018
2003-04,Ekspor,164.0,2018
2003-05,Ekspor,165.0,2018
2003-06,Ekspor,166.0,2018
2003-07,Ekspor,168.0,2018
2003-08,Ekspor,171.0,2018
2003-09,Ekspor,173.0,2018
2003-10,Ekspor,175.0,2018
2003-11,Ekspor,177.0,2018
2003-12,Ekspor,179.0,2018
2004-01,Ekspor,181.0,2018
2004-02,Ekspor,182.0,2018
2004-03,Ekspor,183.0,2018
2004-04,Ekspor,183.0,2018
2004-05,Ekspor,185.0,2018
2004-06,Ekspor,187.0,2018
2004-07,Ekspor,188.0,2018
2004-08,Ekspor,190.0,2018
2004-09,Ekspor,191.0,2018
2004-10,Ekspor,192.0,2018
2004-11,Ekspor,194.0,2018
2004-12,Ekspor,195.0,2018
2005-01,Ekspor,195.0,2018
2005-02,Ekspor,197.0,2018
2005-03,Ekspor,198.0,2018
2005-04,Ekspor,198.0,2018
2005-05,Ekspor,201.0,2018
2005-06,Ekspor,202.0,2018
2005-07,Ekspor,203.0,2018
2005-08,Ekspor,204.0,2018
2005-09,Ekspor,204.0,2018
2005-10,Ekspor,205.0,2018
2005-11,Ekspor,204.0,2018
2005-12,Ekspor,207.0,2018
2006-01,Ekspor,209.0,2018
2006-02,Ekspor,212.0,2018
2006-03,Ekspor,215.0,2018
2006-04,Ekspor,215.0,2018
2006-05,Ekspor,217.0,2018
2006-06,Ekspor,217.0,2018
2006-07,Ekspor,218.0,2018
2006-08,Ekspor,218.0,2018
2006-09,Ekspor,220.0,2018
2006-10,Ekspor,222.0,2018
2006-11,Ekspor,225.0,2018
2006-12,Ekspor,227.0,2018
2007-01,Ekspor,228.0,2018
2007-02,Ekspor,229.0,2018
2007-03,Ekspor,230.0,2018
2007-04,Ekspor,231.0,2018
2007-05,Ekspor,234.0,2018
2007-06,Ekspor,235.0,2018
2007-07,Ekspor,237.0,2018
2007-08,Ekspor,239.0,2018
2007-09,Ekspor,243.0,2018
2007-10,Ekspor,245.0,2018
2007-11,Ekspor,246.0,2018
2007-12,Ekspor,250.0,2018
2008-01,Ekspor,254.0,2018
2008-02,Ekspor,255.0,2018
2008-03,Ekspor,256.0,2018
2008-04,Ekspor,259.0,2018
2008-05,Ekspor,262.0,2018
