periode,sektor,ihpb,tahun_dasar
2003-01,Impor,186.0,2018
2003-02,Impor,188.0,2018
2003-03,Impor,188.0,2018
2003-04,Impor,189.0,2018
2003-05,Impor,190.0,2018
2003-06,Impor,191.0,2018
2003-07,Impor,191.0,2018
2003-08,Impor,191.0,2018
2003-09,Impor,192.0,2018
2003-10,Impor,193.0,2018
2003-11,Impor,195.0,2018
2003-12,Impor,196.0,2018
2004-01,Impor,199.0,2018
2004-02,Impor,201.0,2018
2004-03,Impor,202.0,2018
2004-04,Impor,202.0,2018
2004-05,Impor,204.0,2018
2004-06,Impor,205.0,2018
2004-07,Impor,206.0,2018
2004-08,Impor,207.0,2018
2004-09,Impor,209.0,2018
2004-10,Impor,209.0,2018
2004-11,Impor,214.0,2018
2004-12,Impor,216.0,2018
2005-01,Impor,218.0,2018
2005-02,Impor,218.0,2018
2005-03,Impor,222.0,2018
2005-04,Impor,222.0,2018
2005-05,Impor,224.0,2018
2005-06,Impor,226.0,2018
2005-07,Impor,227.0,2018
2005-08,Impor,227.0,2018
2005-09,Impor,227.0,2018
2005-10,Impor,227.0,2018
2005-11,Impor,228.0,2018
2005-12,Impor,230.0,2018
2006-01,Impor,236.0,2018
2006-02,Impor,241.0,2018
2006-03,Impor,245.0,2018
2006-04,Impor,246.0,2018
2006-05,Impor,247.0,2018
2006-06,Impor,250.0,2018
2006-07,Impor,253.0,2018
2006-08,Impor,256.0,2018
2006-09,Impor,256.0,2018
2006-10,Impor,258.0,2018
2006-11,Impor,260.0,2018
2006-12,Impor,265.0,2018
2007-01,Impor,273.0,2018
2007-02,Impor,278.0,2018
2007-03,Impor,282.0,2018
2007-04,Impor,285.0,2018
2007-05,Impor,288.0,2018
2007-06,Impor,291.0,2018
2007-07,Impor,298.0,2018
2007-08,Impor,305.0,2018
2007-09,Impor,309.0,2018
2007-10,Impor,316.0,2018
2007-11,Impor,321.0,2018
2007-12,Impor,327.0,2018
2008-01,Impor,332.0,2018
2008-02,Impor,342.0,2018
2008-03,Impor,344.0,2018
2008-04,Impor,351.0,2018
2008-05,Impor,357.0,2018
2008-06,Impor,358.0,2018
2008-07,Impor,361.0,2018
2008-08,Impor,360.0,2018
2008-09,Impor,359.0,2018
2008-10,Impor,360.0,2018
2008-11,Impor,363.0,2018
2008-12,Impor,371.0,2018
2009-01,Impor,382.0,2018
2009-02,Impor,388.0,2018
2009-03,Impor,388.0,2018
2009-04,Impor,394.0,2018
2009-05,Impor,396.0,2018
2009-06,Impor,403.0,2018
2009-07,Impor,403.0,2018
2009-08,Impor,406.0,2018
2009-09,Impor,403.0,2018
2009-10,Impor,404.0,2018
2009-11,Impor,407.0,2018
2009-12,Impor,413.0,2018
2010-01,Impor,159.55,2018
2010-02,Impor,157.9,2018
2010-03,Impor,158.39,2018
2010-04,Impor,161.0,2018
2010-05,Impor,161.0,2018
2010-06,Impor,159.0,2018
2010-07,Impor,159.0,2018
2010-08,Impor,159.0,2018
2010-09,Impor,160.0,2018
2010-10,Impor,0.0,2018
2010-11,Impor,163.0,2018
2010-12,Impor,164.0,2018
2011-01,Impor,168.0,2018
2011-02,Impor,160.82,2018
2011-03,Impor,170.63,2018
2011-04,Impor,173.55,2018
2011-05,Impor,176.58,2018
2011-06,Impor,178.44,2018
2011-07,Impor,177.23,2018
2011-08,Impor,175.51,2018
2011-09,Impor,176.85,2018
2011-10,Impor,176.41,2018
2011-11,Impor,179.19,2018
2011-12,Impor,180.05,2018
2012-01,Impor,182.04,2018
2012-02,Impor,181.99,2018
2012-03,Impor,177.37,2018
2012-04,Impor,182.99,2018
2012-05,Impor,185.94,2018
2012-06,Impor,190.37,2018
2012-07,Impor,188.59,2018
2012-08,Impor,186.22,2018
2012-09,Impor,182.27,2018
2012-10,Impor,183.6,2018
2012-11,Impor,193.57,2018
2012-12,Impor,194.42,2018
2013-01,Impor,194.47,2018
2013-02,Impor,193.32,2018
2013-03,Impor,194.28,2018
2013-04,Impor,189.17,2018
2013-05,Impor,195.6,2018
2013-06,Impor,198.09,2018
2013-07,Impor,196.37,2018
2013-08,Impor,192.72,2018
2013-09,Impor,191.6,2018
2013-10,Impor,193.63,2018
2013-11,Impor,197.59,2018
2013-12,Impor,205.07,2018
2014-01,Impor,209.91,2018
2014-02,Impor,212.0,2018
2014-03,Impor,131.34,2018
2014-04,Impor,134.43,2018
2014-05,Impor,188.2,2018
2014-06,Impor,135.58,2018
2014-07,Impor,135.57,2018
2014-08,Impor,135.15,2018
2014-09,Impor,134.65,2018
2014-10,Impor,138.96,2018
2014-11,Impor,140.39,2018
2014-12,Impor,140.06,2018
2015-01,Impor,139.31,2018
2015-02,Impor,139.1,2018
2015-03,Impor,139.3,2018
2015-04,Impor,136.28,2018
2015-05,Impor,134.09,2018
2015-06,Impor,137.37,2018
2015-07,Impor,132.15,2018
2015-08,Impor,132.14,2018
2015-09,Impor,133.0,2018
2015-10,Impor,133.56,2018
2015-11,Impor,134.75,2018
2015-12,Impor,134.97,2018
2016-01,Impor,135.0,2018
2016-02,Impor,135.1,2018
2016-03,Impor,135.4,2018
2016-04,Impor,135.29,2018
2016-05,Impor,135.39,2018
2016-06,Impor,133.52,2018
2016-07,Impor,134.19,2018
2016-08,Impor,128.36,2018
2016-09,Impor,125.17,2018
2016-10,Impor,125.01,2018
2016-11,Impor,127.23,2018
2016-12,Impor,127.65,2018
2017-01,Impor,128.62,2018
2017-02,Impor,128.23,2018
2017-03,Impor,128.13,2018
2017-04,Impor,128.73,2018
2017-05,Impor,129.34,2018
2017-06,Impor,130.11,2018
2017-07,Impor,130.66,2018
2017-08,Impor,128.1,2018
2017-09,Impor,131.09,2018
2017-10,Impor,131.88,2018
2017-11,Impor,133.36,2018
2017-12,Impor,133.41,2018
2018-01,Impor,133.76,2018
2018-02,Impor,133.9,2018
2018-03,Impor,133.89,2018
2018-04,Impor,134.34,2018
2018-05,Impor,136.65,2018
2018-06,Impor,138.26,2018
2018-07,Impor,139.01,2018
2018-08,Impor,140.45,2018
2018-09,Impor,135.0,2018
2018-10,Impor,142.35,2018
2018-11,Impor,143.18,2018
2018-12,Impor,143.78,2018
2019-01,Impor,143.98,2018
2019-02,Impor,145.11,2018
2019-03,Impor,147.32,2018
2019-04,Impor,148.64,2018
2019-05,Impor,149.3,2018
2019-06,Impor,150.36,2018
2019-07,Impor,151.51,2018
2019-08,Impor,153.1,2018
2019-09,Impor,149.59,2018
2019-10,Impor,147.35,2018
2019-11,Impor,148.45,2018
2019-12,Impor,149.56,2018
2020-01,Impor,103.43244694,2018
2020-02,Impor,103.59388839,2018
2020-03,Impor,103.81275981,2018
2020-04,Impor,104.08440333,2018
2020-05,Impor,104.199312,2018
2020-06,Impor,104.353673,2018
2020-07,Impor,104.33190624,2018
2020-08,Impor,104.50889196,2018
2020-09,Impor,104.56590828695226,2018
2020-10,Impor,104.71154078384967,2018
2020-11,Impor,104.91617053,2018
2020-12,Impor,105.13102211,2018
2021-01,Impor,104.30349361506683,2018
2021-02,Impor,105.61011614,2018
2021-03,Impor,105.88719968,2018
2021-04,Impor,106.08142981,2018
2021-05,Impor,106.42515019,2018
2021-06,Impor,106.74567017,2018
2021-07,Impor,106.98374181,2018
2021-08,Impor,107.1148337,2018
2021-09,Impor,107.35078983,2018
2021-10,Impor,107.56582909,2018
2021-11,Impor,107.92907975,2018
2021-12,Impor,108.40400719,2018
2022-01,Impor,108.96784152,2018
2022-02,Impor,107.08880740666665,2018
2022-03,Impor,109.77986293,2018
2022-04,Impor,110.04548304,2018
2022-05,Impor,110.67515735,2018
2022-06,Impor,111.90765725,2018
2022-07,Impor,112.33077002,2018
2022-08,Impor,112.75086072,2018
2022-09,Impor,113.23433067,2018
2022-10,Impor,113.72922628,2018
2022-11,Impor,114.86075552,2018
2022-12,Impor,115.08945855,2018
2023-01,Impor,115.36282342,2018
2023-02,Impor,115.80795657,2018
2023-03,Impor,112.96452852666665,2018
2023-04,Impor,116.21,2018
2023-05,Impor,116.72,2018
2023-06,Impor,116.98,2018
2023-07,Impor,117.22,2018
2023-08,Impor,117.36,2018
2023-09,Impor,117.35,2018
2023-10,Impor,117.47,2018
2023-11,Impor,117.58,2018
2023-12,Impor,118.11,2018
2024-01,Impor,118.36,2018
2024-02,Impor,118.45,2018
2024-03,Impor,118.56,2018
2024-04,Impor,117.53,2018
2024-05,Impor,118.78,2018
2024-06,Impor,119.5,2018
2024-07,Impor,120.0,2018
2024-08,Impor,120.21,2018
2024-09,Impor,120.17,2018
2024-10,Impor,120.25,2018
2024-11,Impor,120.44,2018
2024-12,Impor,120.59,2018
2025-01,Impor,120.74,2018
2025-02,Impor,120.72,2018
2025-03,Impor,120.87,2018
2025-04,Impor,121.07,2018
2025-05,Impor,121.07,2018
2025-09,Impor,4.0,2018
