periode,sektor,ihpb,tahun_dasar
2010-01,IHPB,167.35,2018
2010-02,IHPB,167.41,2018
2010-03,IHPB,167.78,2018
2010-04,IHPB,169.0,2018
2010-05,IHPB,170.0,2018
2010-06,IHPB,170.0,2018
2010-07,IHPB,170.0,2018
2010-08,IHPB,171.0,2018
2010-09,IHPB,172.0,2018
2010-10,IHPB,0.0,2018
2010-11,IHPB,173.0,2018
2010-12,IHPB,174.0,2018
2011-01,IHPB,176.0,2018
2011-02,IHPB,170.63,2018
2011-03,IHPB,178.45,2018
2011-04,IHPB,180.12,2018
2011-05,IHPB,181.1,2018
2011-06,IHPB,182.12,2018
2011-07,IHPB,182.29,2018
2011-08,IHPB,182.27,2018
2011-09,IHPB,183.53,2018
2011-10,IHPB,184.45,2018
2011-11,IHPB,185.57,2018
2011-12,IHPB,185.88,2018
2012-01,IHPB,186.68,2018
2012-02,IHPB,187.31,2018
2012-03,IHPB,183.31,2018
2012-04,IHPB,188.69,2018
2012-05,IHPB,190.44,2018
2012-06,IHPB,192.27,2018
2012-07,IHPB,192.71,2018
2012-08,IHPB,192.07,2018
2012-09,IHPB,190.71,2018
2012-10,IHPB,191.44,2018
2012-11,IHPB,194.65,2018
2012-12,IHPB,195.19,2018
2013-01,IHPB,195.03,2018
2013-02,IHPB,194.4,2018
2013-03,IHPB,194.66,2018
2013-04,IHPB,192.69,2018
2013-05,IHPB,197.08,2018
2013-06,IHPB,198.88,2018
2013-07,IHPB,198.79,2018
2013-08,IHPB,197.48,2018
2013-09,IHPB,197.37,2018
2013-10,IHPB,198.7,2018
2013-11,IHPB,202.47,2018
2013-12,IHPB,206.65,2018
2014-01,IHPB,210.09,2018
2014-02,IHPB,212.0,2018
2014-03,IHPB,126.87,2018
2014-04,IHPB,128.76,2018
2014-05,IHPB,189.6,2018
2014-06,IHPB,130.44,2018
2014-07,IHPB,130.43,2018
2014-08,IHPB,130.52,2018
2014-09,IHPB,130.96,2018
2014-10,IHPB,131.7,2018
2014-11,IHPB,132.81,2018
2014-12,IHPB,133.48,2018
2015-01,IHPB,133.19,2018
2015-02,IHPB,133.48,2018
2015-03,IHPB,133.44,2018
2015-04,IHPB,133.67,2018
2015-05,IHPB,135.16,2018
2015-06,IHPB,132.44,2018
2015-07,IHPB,133.9,2018
2015-08,IHPB,133.69,2018
2015-09,IHPB,134.69,2018
2015-10,IHPB,135.34,2018
2015-11,IHPB,137.74,2018
2015-12,IHPB,138.54,2018
2016-01,IHPB,139.01,2018
2016-02,IHPB,140.88,2018
2016-03,IHPB,140.52,2018
2016-04,IHPB,140.05,2018
2016-05,IHPB,141.39,2018
