periode,impor_gula
2014-01,152662.0
2014-02,78979.0
2014-03,14549.0
2014-04,59075.0
2014-05,140995.0
2014-06,62126.0
2014-07,143889.0
2014-08,74032.0
2014-09,188295.0
2014-10,88302.0
2014-11,15273.0
2014-12,121052.0
2019-02,130026.0
2019-03,119977.0
2019-04,73806.0
2019-05,23046.0
2019-06,58708.0
2019-07,44943.0
2019-08,63349.0
2019-09,63844.0
2019-10,52921.0
2019-11,97603.0
2019-12,66011.0
2024-02,90382.0
2024-03,72280.0
2024-04,810660.0
2024-05,524577.0
2024-06,76464.0
2024-07,677606.0
2024-08,46800.0
2024-09,15600.0
2024-10,525262.0
2024-11,93600.0
2024-12,46060.0
2026-01,496360.04
2026-02,771216.62
2026-03,386776.39
2026-04,510190.0
2026-05,1052666.48
2026-06,4.0
2026-07,679577.88
2026-08,593638.11
2026-09,545846.89
2026-10,9.0
2026-11,1355759.32
2026-12,2477534.72
