periode,kode_hs,nilai_impor,nama_komoditas
2014-01,17,152662.0,Gula
2014-02,17,78979.0,Gula
2014-03,17,14549.0,Gula
2014-04,17,59075.0,Gula
2014-05,17,140995.0,Gula
2014-06,17,62126.0,Gula
2014-07,17,143889.0,Gula
2014-08,17,74032.0,Gula
2014-09,17,188295.0,Gula
2014-10,17,88302.0,Gula
2014-11,17,15273.0,Gula
2014-12,17,121052.0,Gula
2019-02,17,130026.0,Gula
2019-03,17,119977.0,Gula
2019-04,17,73806.0,Gula
2019-05,17,23046.0,Gula
2019-06,17,58708.0,Gula
2019-07,17,44943.0,Gula
2019-08,17,63349.0,Gula
2019-09,17,63844.0,Gula
2019-10,17,52921.0,Gula
2019-11,17,97603.0,Gula
2019-12,17,66011.0,Gula
2024-02,17,90382.0,Gula
2024-03,17,72280.0,Gula
2024-04,17,810660.0,Gula
2024-05,17,524577.0,Gula
2024-06,17,76464.0,Gula
2024-07,17,677606.0,Gula
2024-08,17,46800.0,Gula
2024-09,17,15600.0,Gula
2024-10,17,525262.0,Gula
2024-11,17,93600.0,Gula
2024-12,17,46060.0,Gula
2026-01,17,496360.04,Gula
2026-02,17,771216.62,Gula
2026-03,17,386776.39,Gula
2026-04,17,510190.0,Gula
2026-05,17,1052666.48,Gula
2026-06,17,4.0,Gula
2026-07,17,679577.88,Gula
2026-08,17,593638.11,Gula
2026-09,17,545846.89,Gula
2026-10,17,9.0,Gula
2026-11,17,1355759.32,Gula
2026-12,17,2477534.72,Gula
