periode,kurs_tengah,kurs_jual,kurs_beli
2010-01,9254.9,9301.18,9208.63
2010-02,9353.15,9399.92,9306.38
2010-03,9144.62,9190.34,9098.89
2010-04,9029.45,9074.6,8984.31
2010-05,9194.45,9240.42,9148.48
2010-06,9147.52,9193.26,9101.79
2010-07,9019.35,9064.44,8974.25
2010-08,8919.82,8964.41,8875.22
2010-09,8972.6,9017.46,8927.73
2010-10,8910.13,8954.68,8865.58
2010-11,8523.57,8566.19,8480.95
2010-12,9000.71,9045.72,8955.71
2011-01,8989.61,9034.56,8944.66
2011-02,8865.7,8910.03,8821.37
2011-03,8739.63,8783.33,8695.93
2011-04,8637.03,8680.22,8593.84
2011-05,8541.75,8584.46,8499.04
2011-06,8551.23,8593.98,8508.47
2011-07,8523.48,8566.09,8480.86
2011-08,8478.38,8520.77,8435.99
2011-09,8695.26,8738.73,8651.78
2011-10,8826.44,8870.58,8782.31
2011-11,8975.9,9020.78,8931.02
2011-12,9043.01,9088.22,8997.79
2012-01,9050.61,9095.87,9005.36
2012-02,8594.4,8637.38,8551.43
2012-03,9125.11,9170.74,9079.49
2012-04,9143.09,9188.8,9097.37
2012-05,9210.11,9256.16,9164.06
2012-06,9381.33,9428.23,9334.42
2012-07,9407.53,9454.56,9360.49
2012-08,9461.41,9508.72,9414.11
2012-09,9524.59,9572.22,9476.97
2012-10,9561.41,9609.22,9513.61
2012-11,9579.44,9627.34,9531.54
2012-12,9607.82,9655.86,9559.78
2013-01,9630.4,9678.55,9582.24
2013-02,9649.66,9697.9,9601.41
2013-03,9668.43,9716.77,9620.08
2013-04,9687.31,9735.75,9638.88
2013-05,9721.11,9769.71,9672.5
2013-06,9799.57,9848.57,9750.57
2013-07,9986.55,10036.48,9936.62
2013-08,10500.09,10552.59,10447.59
2013-09,11263.76,11320.08,11207.44
2013-10,11210.57,11266.62,11154.51
2013-11,11162.8,11218.61,11106.99
2013-12,11590.97,11648.93,11533.02
2014-01,12035.48,12095.66,11975.3
2014-02,11834.6,11893.77,11775.43
2014-03,11425.95,11483.08,11368.82
2014-04,11421.09,11478.2,11363.99
2014-05,11507.05,11564.58,11449.51
2014-06,11879.19,11938.59,11819.79
2014-07,11666.13,11724.46,11607.8
2014-08,11709.62,11768.17,11651.07
2014-09,11874.0,11933.37,11814.63
2014-10,12133.17,12193.84,12072.51
2014-11,12146.9,12207.63,12086.17
2014-12,12422.74,12484.85,12360.63
2015-01,12527.77,12590.41,12465.13
2015-02,12735.15,12798.83,12671.47
2015-03,13034.05,13099.22,12968.88
2015-04,12938.14,13002.83,12873.45
2015-05,13082.76,13148.18,13017.35
2015-06,13282.5,13348.91,13216.09
2015-07,13351.61,13418.37,13284.85
2015-08,13690.0,13758.45,13621.55
2015-09,14343.95,14415.67,14272.23
2015-10,13761.0,13829.8,13692.2
2015-11,13612.1,13680.16,13544.03
2015-12,13813.52,13882.59,13744.45
2016-01,13840.71,13909.92,13771.51
2016-02,13499.95,13567.45,13432.45
2016-03,13122.96,13188.57,13057.34
2016-04,13147.95,13213.69,13082.21
2016-05,13395.45,13462.43,13328.48
2016-06,13334.27,13400.94,13267.6
2016-07,13101.62,13167.13,13036.11
2016-08,13145.39,13211.12,13079.66
2016-09,13114.05,13179.62,13048.48
2016-10,13015.24,13080.31,12950.16
2016-11,13317.05,13383.63,13250.46
2016-12,13414.55,13481.62,13347.47
2017-01,13352.23,13418.99,13285.47
